country,value,uncertainty,latitude,longitude
Denmark,61.6,0.3571428571,54.6761,-6.5683
Italy,53.7,0.3571428571,35.9028,-3.7964
France,50.7,0.3571428571,43.8566,-12.3522
Togo,47.9,0.3571428571,8.1375,-14.2125
Moldova,44.2,0.3571428571,49.0105,24.8638
Senegal,41.9,0.3571428571,15.9928,-30.4467
Niger,39.7,0.3571428571,17.5128,-16.1128
Liberia,35.5,0.3571428571,3.4281,-28.4295
Benin,34.18,0.3571428571,6.4969,2.6289
Sierra_Leone,34.1,0.3571428571,7.4657,-30.2317
Cameroon,33.77,0.3571428571,4.848,-5.5021
Mauritania,32.9,0.3571428571,21.0783,-28.978
Gambia,29.8,0.3571428571,17.4549,-26.079
Chad,28.57,0.3571428571,16.1348,-11.0557
Guinea,22.3,0.3571428571,11.0091,-26.7123
Iceland,65.9,0.4285714286,57.1355,-33.8954
El_Salvador,38.7,0.4285714286,28.6929,-81.2182
Namibia,45.8,0.5,-11.5597,-7.0836
Nepal,41.6,0.5,22.3152,45.3661
Saudi_Arabia,38.9,0.5,14.9454,25.9284
Malawi,38.8,0.5,-1.9783,10.7741
Mozambique,37.6,0.5,-8.9655,10.5892
Cambodia,33.12,0.5,10.0152,58.3661
Madagascar,30.9,0.5,-10.8792,17.5079
Lesotho,29.8,0.5,-18.3167,2.4833
Somalia,29.4,0.5,14.0469,9.3182
Sudan,29.2,0.5,19.5007,-2.8599
Central_African_Republic,27.34,0.5,10.3947,-6.5582
Comoros,26.79,0.5,4.711,18.5079
Burundi,26.78,0.5,-7.026,3.9305
Honduras,26.1,0.5,33.9676,-64.9506
DR_Congo,25.9,0.5,1.4419,1.2663
Congo,18.99,0.5,-1.2634,-3.2429
Afghanistan,17.75,0.5,29.3,39.3661
Gabon,16.2,0.5,-1.4162,-9.4673
Djibouti,20.6,0.5714285714,14.8251,5.5903
Luxembourg,47.9,0.6428571429,49.6117,-9.13
Sri_Lanka,47.8,0.6428571429,6.9271,44.9782
Timor-Leste,43.3,0.6428571429,-6.0152,69.3661
Angola,43.25,0.6428571429,-6.8,-9.2343
Israel,42.9,0.6428571429,20.7683,19.2137
Malta,40.6,0.6428571429,32.3028,-6.4964
Ireland,35.5,0.6428571429,51.3498,-27.2603
Paraguay,34.1,0.6428571429,-8.2637,-53.5759
Laos,31.5,0.6428571429,17.3152,56.3661
Kosovo,29.7,0.6428571429,35.8722,7.8662
Panama,29.7,0.6428571429,8.9824,-75.5197
Jamaica,29.2,0.6428571429,21.997,-70.7936
Costa_Rica,24.75,0.6428571429,15.9281,-78.0907
Eritrea,23.2,0.6428571429,19.532,3.833
Belgium,22.76,0.6428571429,46.8503,-17.3517
Bhutan,22.34,0.6428571429,23.3152,50.3661
Botswana,22.18,0.6428571429,-11.6544,-1.5086
Belize,21.92,0.6428571429,39.251,-80.7733
Bahrain,21.71,0.6428571429,22.3759,31.9774
South_Sudan,18.7,0.6428571429,15.5007,-5.5599
Mauritius,45.8,0.7142857143,-15.1609,27.5012
Oman,42.2,0.7142857143,10.5859,33.4059
Turkmenistan,35.2,0.7142857143,35.9334,34.8597
Papua_New_Guinea,34.6,0.7142857143,-4.0152,79.3661
Suriname,32.5,0.7142857143,5.8663,-55.1713
Guinea-Bissau,28.2,0.7142857143,11.8817,-31.617
Cuba,20.91,0.7142857143,33.1136,-72.3666
Eswatini,20.5,0.7142857143,-16.3,7.1415
Syria,20.3,0.7142857143,33.5138,26.2765
Guyana,19.8,0.7142857143,3.8013,-48.155
United_Arab_Emirates,28.7,0.7857142857,11.9454,36.9284
Cabo_Verde,15.97,0.7857142857,17.933,-35.5133
Solomon_Islands,10.1,0.7857142857,9.5229,85.085
Sao_Tome_and_Principe,34.1,0.8571428571,0.3365,-16.7272
Samoa,32.6,0.8571428571,-3.0152,88.3661
Fiji,21.5,0.8571428571,-10.0152,93.3661
Barbados,13.83,0.8571428571,22.3152,-55.3661
Equatorial_Guinea,12.2,0.8571428571,2.75,-9.7833
Seychelles,14.7,0.9285714286,-4.6167,25.45
Grenada,7.6,0.9285714286,17.053,-60.7488
Dominica,7.14,0.9285714286,22.3017,-60.3881
Brunei_Darussalam,6.92,0.9285714286,2.0152,68.3661
Antigua_and_Barbuda,6.86,0.9285714286,27.1,-58.8468
Bahamas,6.86,0.9285714286,38.0343,-70.3963
